wochentag,isferienzh,ferien_desc_zh,isferiensg,ferien_desc_sg,isferiengr,ferien_desc_gr,feiertag_desc,isfeiertag_zh,isfeiertag_sg,isfeiertag_gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,day_count,sin_weekday,cos_weekday,sin_yearday,cos_yearday
2,1,3,1,1,0,0,0,0,0,0,-0.825,88.85,29232.25,2.475,1,1,0,4.1,2.8,5.3,-10.1,0,0,0,0,0,0,10.1,0,0,38,219,0.9749279121818236,-0.22252093395631434,-0.5877852522924734,-0.8090169943749472
3,1,3,1,1,0,0,0,0,0,0,-1.575,90.4,30020.5,2.4,1,1,0,4.6,7.3,3.4,-5.4,0,0,0,0,0,0,7.2,1.3,0,53,220,0.43388373911755823,-0.900968867902419,-0.6016240632249227,-0.7987793728863648
4,1,3,1,1,0,0,0,0,0,0,1.425,91.325,28877.25,5.775,1,1,0,16.1,2.6,7.5,-10.1,0,0,0,0,0,0,32.4,0.8,0,48,221,-0.433883739117558,-0.9009688679024191,-0.6152845999633277,-0.7883050558305253
5,1,3,1,1,0,0,0,0,0,0,1.075,91.8,30010.25,1.7,1,1,0,4,2.9,7,-8.2,0,0,0,0,0,0,7,0,0,24,222,-0.9749279121818235,-0.2225209339563146,-0.6287628145958345,-0.7775971469736269
6,1,3,1,1,0,0,0,0,0,0,0.05,90.825,30030.25,1.65,1,1,0,4.1,2.7,4.7,-6.4,0,0,0,0,0,0,9.2,4.8,0,44,223,-0.7818314824680299,0.6234898018587334,-0.6420547132365636,-0.7666588193001591
7,1,3,1,1,0,0,0,0,0,0,1.4,90.525,30029.25,1.725,1,1,0,3.2,3.2,9.1,-4.1,0,0,0,0,0,0,9.1,1.3,0,33,224,-2.4492935982947064e-16,1,-0.655156357209085,-0.7554933140726804
1,1,3,1,1,0,0,0,0,0,0,4.075,93.05,30015.75,2.2,1,1,0,5.8,2.8,10.1,-4.3,0,0,0,0,0,0,11.9,4.5,0,26,225,0.7818314824680297,0.6234898018587336,-0.6680638642135333,-0.7441039398713608
2,1,3,1,1,0,0,0,0,0,0,2.725,96.075,30018,2.2,1,1,0,4.3,2.8,9.3,-5.1,0,0,0,0,0,0,11,0,0,50,226,0.9749279121818236,-0.22252093395631434,-0.680773409477016,-0.732494071613579
3,1,3,1,1,0,0,0,0,0,0,2.425,97.025,30027,2.2,1,1,0,4.7,2.5,9.9,-6.4,0,0,0,0,0,0,12,0,0,40,227,0.43388373911755823,-0.900968867902419,-0.6932812268869771,-0.7206671495538615
4,1,3,1,1,0,0,0,0,0,0,2.025,97.6,30028.75,2.45,1,1,0,2.7,2.4,7.9,-6.9,0,0,0,0,0,0,8.6,1.4,0,42,228,-0.433883739117558,-0.9009688679024191,-0.7055836101071774,-0.7086266782644601
5,1,3,1,1,0,0,27,1,1,1,0.85,102.75,29992.25,2.25,1,1,0,4,2.6,6.1,-13.6,0,0,0,0,0,0,10.4,0.2,0,35,229,-0.9749279121818235,-0.2225209339563146,-0.7176769136759615,-0.6963762255968727
6,1,3,1,1,0,0,0,0,0,0,-4.025,104.225,30018.5,3.025,1,1,0,3.1,6.9,-2.2,-12.4,0.11,0,0,0,0,0,11.5,3,0,31,230,-0.7818314824680299,0.6234898018587334,-0.7295575540864876,-0.6839194216246105
7,1,3,1,1,0,0,0,0,0,0,-4.675,103.05,25194.5,6.3,1,1,0,15.3,7.2,-4.7,-8.3,4.05,5.4,0,0,0.01,0,35.7,0.8,0,29,231,-2.4492935982947064e-16,1,-0.7412220108485957,-0.6712599575675315
